DATE,EVENT
20/4/17,SCHOOL
21/4/17,SCHOOL
22/4/17,SCHOOL
23/4/17,SCHOOL
24/4/17,SCHOOL
25/4/17,SCHOOL
26/4/17,SCHOOL
27/4/17,SCHOOL
28/4/17,SCHOOL
29/4/17,SCHOOL
30/4/17,SCHOOL
8/7/17,SCHOOL
9/7/17,SCHOOL
10/7/17,SCHOOL
11/7/17,SCHOOL
12/7/17,SCHOOL
13/7/17,SCHOOL
14/7/17,SCHOOL
15/7/17,SCHOOL
16/7/17,SCHOOL
17/7/17,SCHOOL
18/7/17,SCHOOL
19/7/17,SCHOOL
20/7/17,SCHOOL
21/7/17,SCHOOL
22/7/17,SCHOOL
23/7/17,SCHOOL
30/9/17,SCHOOL
1/10/17,SCHOOL
2/10/17,SCHOOL
3/10/17,SCHOOL
4/10/17,SCHOOL
5/10/17,SCHOOL
6/10/17,SCHOOL
7/10/17,SCHOOL
8/10/17,SCHOOL
9/10/17,SCHOOL
10/10/17,SCHOOL
11/10/17,SCHOOL
12/10/17,SCHOOL
13/10/17,SCHOOL
14/10/17,SCHOOL
15/10/17,SCHOOL
16/12/17,SCHOOL
17/12/17,SCHOOL
18/12/17,SCHOOL
19/12/17,SCHOOL
20/12/17,SCHOOL
21/12/17,SCHOOL
22/12/17,SCHOOL
23/12/17,SCHOOL
24/12/17,SCHOOL
25/12/17,SCHOOL
26/12/17,SCHOOL
27/12/17,SCHOOL
28/12/17,SCHOOL
29/12/17,SCHOOL
30/12/17,SCHOOL
31/12/17,SCHOOL
1/1/18,SCHOOL
2/1/18,SCHOOL
3/1/18,SCHOOL
4/1/18,SCHOOL
5/1/18,SCHOOL
6/1/18,SCHOOL
7/1/18,SCHOOL
8/1/18,SCHOOL
9/1/18,SCHOOL
10/1/18,SCHOOL
11/1/18,SCHOOL
12/1/18,SCHOOL
13/1/18,SCHOOL
14/1/18,SCHOOL
15/1/18,SCHOOL
16/1/18,SCHOOL
17/1/18,SCHOOL
18/1/18,SCHOOL
19/1/18,SCHOOL
20/1/18,SCHOOL
21/1/18,SCHOOL
22/1/18,SCHOOL
23/1/18,SCHOOL
24/1/18,SCHOOL
25/1/18,SCHOOL
26/1/18,SCHOOL
27/1/18,SCHOOL
28/1/18,SCHOOL
14/4/18,SCHOOL
15/4/18,SCHOOL
16/4/18,SCHOOL
17/4/18,SCHOOL
18/4/18,SCHOOL
19/4/18,SCHOOL
20/4/18,SCHOOL
21/4/18,SCHOOL
22/4/18,SCHOOL
23/4/18,SCHOOL
24/4/18,SCHOOL
25/4/18,SCHOOL
26/4/18,SCHOOL
27/4/18,SCHOOL
28/4/18,SCHOOL
29/4/18,SCHOOL
7/7/18,SCHOOL
8/7/18,SCHOOL
9/7/18,SCHOOL
10/7/18,SCHOOL
11/7/18,SCHOOL
12/7/18,SCHOOL
13/7/18,SCHOOL
14/7/18,SCHOOL
15/7/18,SCHOOL
16/7/18,SCHOOL
17/7/18,SCHOOL
18/7/18,SCHOOL
19/7/18,SCHOOL
20/7/18,SCHOOL
21/7/18,SCHOOL
22/7/18,SCHOOL
29/9/18,SCHOOL
30/9/18,SCHOOL
1/10/18,SCHOOL
2/10/18,SCHOOL
3/10/18,SCHOOL
4/10/18,SCHOOL
5/10/18,SCHOOL
6/10/18,SCHOOL
7/10/18,SCHOOL
8/10/18,SCHOOL
9/10/18,SCHOOL
10/10/18,SCHOOL
11/10/18,SCHOOL
12/10/18,SCHOOL
13/10/18,SCHOOL
14/10/18,SCHOOL
15/12/18,SCHOOL
16/12/18,SCHOOL
17/12/18,SCHOOL
18/12/18,SCHOOL
19/12/18,SCHOOL
20/12/18,SCHOOL
21/12/18,SCHOOL
22/12/18,SCHOOL
23/12/18,SCHOOL
24/12/18,SCHOOL
25/12/18,SCHOOL
26/12/18,SCHOOL
27/12/18,SCHOOL
28/12/18,SCHOOL
29/12/18,SCHOOL
30/12/18,SCHOOL
31/12/18,SCHOOL
1/1/19,SCHOOL
2/1/19,SCHOOL
3/1/19,SCHOOL
4/1/19,SCHOOL
5/1/19,SCHOOL
6/1/19,SCHOOL
7/1/19,SCHOOL
8/1/19,SCHOOL
9/1/19,SCHOOL
10/1/19,SCHOOL
11/1/19,SCHOOL
12/1/19,SCHOOL
13/1/19,SCHOOL
14/1/19,SCHOOL
15/1/19,SCHOOL
16/1/19,SCHOOL
17/1/19,SCHOOL
18/1/19,SCHOOL
19/1/19,SCHOOL
20/1/19,SCHOOL
21/1/19,SCHOOL
22/1/19,SCHOOL
23/1/19,SCHOOL
24/1/19,SCHOOL
25/1/19,SCHOOL
26/1/19,SCHOOL
27/1/19,SCHOOL
28/1/19,SCHOOL
29/1/19,SCHOOL
25/12/12,XMAS
26/12/12,XMAS
25/12/13,XMAS
26/12/13,XMAS
25/12/14,XMAS
26/12/14,XMAS
25/12/15,XMAS
28/12/15,XMAS
26/12/16,XMAS
27/12/16,XMAS
25/12/17,XMAS
26/12/17,XMAS
25/12/18,XMAS
26/12/18,XMAS
25/12/19,XMAS
26/12/19,XMAS
25/12/20,XMAS
28/12/20,XMAS
11/12/12,BEFOREXMAS
12/12/12,BEFOREXMAS
13/12/12,BEFOREXMAS
14/12/12,BEFOREXMAS
15/12/12,BEFOREXMAS
16/12/12,BEFOREXMAS
17/12/12,BEFOREXMAS
18/12/12,BEFOREXMAS
19/12/12,BEFOREXMAS
20/12/12,BEFOREXMAS
21/12/12,BEFOREXMAS
22/12/12,BEFOREXMAS
23/12/12,BEFOREXMAS
24/12/12,BEFOREXMAS
2/1/13,AFTERXMAS
3/1/13,AFTERXMAS
4/1/13,AFTERXMAS
5/1/13,AFTERXMAS
6/1/13,AFTERXMAS
7/1/13,AFTERXMAS
8/1/13,AFTERXMAS
9/1/13,AFTERXMAS
11/12/13,BEFOREXMAS
12/12/13,BEFOREXMAS
13/12/13,BEFOREXMAS
14/12/13,BEFOREXMAS
15/12/13,BEFOREXMAS
16/12/13,BEFOREXMAS
17/12/13,BEFOREXMAS
18/12/13,BEFOREXMAS
19/12/13,BEFOREXMAS
20/12/13,BEFOREXMAS
21/12/13,BEFOREXMAS
22/12/13,BEFOREXMAS
23/12/13,BEFOREXMAS
24/12/13,BEFOREXMAS
2/1/14,AFTERXMAS
3/1/14,AFTERXMAS
4/1/14,AFTERXMAS
5/1/14,AFTERXMAS
6/1/14,AFTERXMAS
7/1/14,AFTERXMAS
8/1/14,AFTERXMAS
9/1/14,AFTERXMAS
11/12/14,BEFOREXMAS
12/12/14,BEFOREXMAS
13/12/14,BEFOREXMAS
14/12/14,BEFOREXMAS
15/12/14,BEFOREXMAS
16/12/14,BEFOREXMAS
17/12/14,BEFOREXMAS
18/12/14,BEFOREXMAS
19/12/14,BEFOREXMAS
20/12/14,BEFOREXMAS
21/12/14,BEFOREXMAS
